Time,ZONE_0:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_0:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_0:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_0:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.339832E+03,6.684364E+02,2.503297E-01,5.954585E-02
00:20:00,4.353104E+03,6.338147E+02,2.510953E-01,5.646164E-02
00:30:00,4.366381E+03,5.997299E+02,2.518612E-01,5.342527E-02
00:40:00,4.379663E+03,5.661661E+02,2.526274E-01,5.043527E-02
00:50:00,4.392949E+03,5.331127E+02,2.533937E-01,4.749074E-02
01:00:00,4.406238E+03,5.005597E+02,2.541603E-01,4.459076E-02
01:10:00,4.407448E+03,4.806989E+02,2.542301E-01,4.282143E-02
01:20:00,4.408660E+03,4.614279E+02,2.543000E-01,4.110476E-02
01:30:00,4.409875E+03,4.427788E+02,2.543701E-01,3.944348E-02
01:40:00,4.411093E+03,4.247378E+02,2.544404E-01,3.783636E-02
01:50:00,4.412314E+03,4.073044E+02,2.545108E-01,3.628336E-02
02:00:00,4.413537E+03,3.904762E+02,2.545814E-01,3.478426E-02
02:10:00,4.414117E+03,3.747861E+02,2.546149E-01,3.338654E-02
02:20:00,4.414699E+03,3.595681E+02,2.546484E-01,3.203088E-02
02:30:00,4.415282E+03,3.448123E+02,2.546821E-01,3.071638E-02
02:40:00,4.415868E+03,3.305197E+02,2.547158E-01,2.944315E-02
02:50:00,4.416455E+03,3.166800E+02,2.547497E-01,2.821026E-02
03:00:00,4.417044E+03,3.032816E+02,2.547837E-01,2.701669E-02
03:10:00,4.417312E+03,2.905262E+02,2.547991E-01,2.588039E-02
03:20:00,4.417581E+03,2.780697E+02,2.548147E-01,2.477073E-02
03:30:00,4.417852E+03,2.658997E+02,2.548303E-01,2.368658E-02
03:40:00,4.418124E+03,2.539937E+02,2.548460E-01,2.262595E-02
03:50:00,4.418398E+03,2.423449E+02,2.548618E-01,2.158823E-02
04:00:00,4.418673E+03,2.309492E+02,2.548777E-01,2.057306E-02
04:10:00,4.406786E+03,2.320779E+02,2.541920E-01,2.067356E-02
04:20:00,4.394898E+03,2.335170E+02,2.535063E-01,2.080186E-02
04:30:00,4.383013E+03,2.353522E+02,2.528208E-01,2.096543E-02
04:40:00,4.371129E+03,2.403215E+02,2.521353E-01,2.140820E-02
04:50:00,4.359246E+03,2.534224E+02,2.514499E-01,2.257537E-02
05:00:00,4.347365E+03,2.817635E+02,2.507646E-01,2.510030E-02
05:10:00,4.325286E+03,3.402327E+02,2.494910E-01,3.030963E-02
05:20:00,4.303206E+03,4.211739E+02,2.482175E-01,3.752204E-02
05:30:00,4.281129E+03,5.228702E+02,2.469440E-01,4.658417E-02
05:40:00,4.259052E+03,6.399104E+02,2.456706E-01,5.701367E-02
05:50:00,4.236977E+03,7.646872E+02,2.443973E-01,6.813247E-02
06:00:00,4.214903E+03,8.872254E+02,2.431240E-01,7.905157E-02
06:10:00,4.206778E+03,9.862812E+02,2.426554E-01,8.787813E-02
06:20:00,4.198657E+03,1.070656E+03,2.421869E-01,9.539527E-02
06:30:00,4.190535E+03,1.141486E+03,2.417183E-01,1.017045E-01
06:40:00,4.182413E+03,1.198911E+03,2.412498E-01,1.068188E-01
06:50:00,4.174292E+03,1.243479E+03,2.407814E-01,1.107872E-01
07:00:00,4.166171E+03,1.276847E+03,2.403130E-01,1.137577E-01
07:10:00,4.169160E+03,1.290766E+03,2.404854E-01,1.149957E-01
07:20:00,4.172226E+03,1.298876E+03,2.406622E-01,1.157162E-01
07:30:00,4.175338E+03,1.302416E+03,2.408416E-01,1.160300E-01
07:40:00,4.178483E+03,1.305479E+03,2.410228E-01,1.163016E-01
07:50:00,4.181653E+03,1.311895E+03,2.412054E-01,1.168721E-01
08:00:00,4.184845E+03,1.323853E+03,2.413893E-01,1.179367E-01
08:10:00,4.212506E+03,1.317876E+03,2.429845E-01,1.174038E-01
08:20:00,4.240335E+03,1.317775E+03,2.445894E-01,1.173942E-01
08:30:00,4.268250E+03,1.323003E+03,2.461990E-01,1.178594E-01
08:40:00,4.296238E+03,1.332107E+03,2.478127E-01,1.186699E-01
08:50:00,4.324288E+03,1.343347E+03,2.494298E-01,1.196707E-01
09:00:00,4.352390E+03,1.357494E+03,2.510499E-01,1.209305E-01
09:10:00,4.359808E+03,1.393439E+03,2.514769E-01,1.241320E-01
09:20:00,4.367110E+03,1.430300E+03,2.518972E-01,1.274154E-01
09:30:00,4.374366E+03,1.467650E+03,2.523151E-01,1.307423E-01
09:40:00,4.381593E+03,1.505179E+03,2.527315E-01,1.340851E-01
09:50:00,4.388801E+03,1.542658E+03,2.531469E-01,1.374235E-01
10:00:00,4.395996E+03,1.578123E+03,2.535616E-01,1.405825E-01
10:10:00,4.395798E+03,1.619099E+03,2.535499E-01,1.442323E-01
10:20:00,4.395525E+03,1.658933E+03,2.535339E-01,1.477806E-01
10:30:00,4.395214E+03,1.697664E+03,2.535158E-01,1.512305E-01
10:40:00,4.394871E+03,1.735295E+03,2.534959E-01,1.545825E-01
10:50:00,4.394502E+03,1.771841E+03,2.534746E-01,1.578379E-01
11:00:00,4.394112E+03,1.807332E+03,2.534521E-01,1.609993E-01
11:10:00,4.394026E+03,1.841129E+03,2.534471E-01,1.640099E-01
11:20:00,4.393924E+03,1.873597E+03,2.534412E-01,1.669020E-01
11:30:00,4.393807E+03,1.904801E+03,2.534345E-01,1.696816E-01
11:40:00,4.393678E+03,1.934825E+03,2.534270E-01,1.723561E-01
11:50:00,4.393537E+03,1.963762E+03,2.534189E-01,1.749337E-01
12:00:00,4.393386E+03,1.991711E+03,2.534101E-01,1.774233E-01
12:10:00,4.393871E+03,2.018388E+03,2.534381E-01,1.797996E-01
12:20:00,4.394348E+03,2.044495E+03,2.534657E-01,1.821252E-01
12:30:00,4.394818E+03,2.070085E+03,2.534928E-01,1.844046E-01
12:40:00,4.395281E+03,2.095194E+03,2.535195E-01,1.866413E-01
12:50:00,4.395738E+03,2.119836E+03,2.535458E-01,1.888364E-01
13:00:00,4.396189E+03,2.144000E+03,2.535718E-01,1.909889E-01
13:10:00,4.397280E+03,2.167003E+03,2.536348E-01,1.930379E-01
13:20:00,4.398367E+03,2.189501E+03,2.536975E-01,1.950420E-01
13:30:00,4.399450E+03,2.211449E+03,2.537599E-01,1.969971E-01
13:40:00,4.400528E+03,2.232754E+03,2.538221E-01,1.988949E-01
13:50:00,4.401602E+03,2.253330E+03,2.538840E-01,2.007277E-01
14:00:00,4.402672E+03,2.273078E+03,2.539458E-01,2.024869E-01
14:10:00,4.403094E+03,2.292286E+03,2.539701E-01,2.041979E-01
14:20:00,4.403512E+03,2.310210E+03,2.539942E-01,2.057945E-01
14:30:00,4.403926E+03,2.326716E+03,2.540181E-01,2.072649E-01
14:40:00,4.404338E+03,2.341680E+03,2.540419E-01,2.085978E-01
14:50:00,4.404748E+03,2.354949E+03,2.540655E-01,2.097797E-01
15:00:00,4.405154E+03,2.366365E+03,2.540890E-01,2.107967E-01
15:10:00,4.395682E+03,2.383148E+03,2.535426E-01,2.122916E-01
15:20:00,4.386205E+03,2.395758E+03,2.529960E-01,2.134149E-01
15:30:00,4.376728E+03,2.404578E+03,2.524494E-01,2.142006E-01
15:40:00,4.367249E+03,2.409566E+03,2.519027E-01,2.146449E-01
15:50:00,4.357768E+03,2.410630E+03,2.513558E-01,2.147396E-01
16:00:00,4.348285E+03,2.407672E+03,2.508089E-01,2.144760E-01
16:10:00,4.320844E+03,2.420928E+03,2.492261E-01,2.156569E-01
16:20:00,4.293371E+03,2.431855E+03,2.476415E-01,2.166303E-01
16:30:00,4.265884E+03,2.441870E+03,2.460562E-01,2.175226E-01
16:40:00,4.238385E+03,2.453263E+03,2.444702E-01,2.185376E-01
16:50:00,4.210877E+03,2.468311E+03,2.428836E-01,2.198782E-01
17:00:00,4.183361E+03,2.489124E+03,2.412966E-01,2.217323E-01
17:10:00,4.156562E+03,2.516930E+03,2.397509E-01,2.242095E-01
17:20:00,4.129676E+03,2.554402E+03,2.382002E-01,2.275478E-01
17:30:00,4.102740E+03,2.600642E+03,2.366467E-01,2.316674E-01
17:40:00,4.075766E+03,2.651564E+03,2.350911E-01,2.362041E-01
17:50:00,4.048758E+03,2.705766E+03,2.335337E-01,2.410331E-01
18:00:00,4.021723E+03,2.761338E+03,2.319747E-01,2.459841E-01
18:10:00,3.995874E+03,2.813159E+03,2.304841E-01,2.506010E-01
18:20:00,3.969942E+03,2.858805E+03,2.289887E-01,2.546678E-01
18:30:00,3.943956E+03,2.893762E+03,2.274903E-01,2.577824E-01
18:40:00,3.917926E+03,2.915550E+03,2.259893E-01,2.597239E-01
18:50:00,3.891858E+03,2.913497E+03,2.244863E-01,2.595416E-01
19:00:00,3.865756E+03,2.881084E+03,2.229813E-01,2.566546E-01
19:10:00,3.851966E+03,2.805004E+03,2.221865E-01,2.498776E-01
19:20:00,3.838320E+03,2.699459E+03,2.213999E-01,2.404755E-01
19:30:00,3.824735E+03,2.578012E+03,2.206167E-01,2.296567E-01
19:40:00,3.811197E+03,2.450394E+03,2.198360E-01,2.182879E-01
19:50:00,3.797692E+03,2.328925E+03,2.190571E-01,2.074669E-01
20:00:00,3.784215E+03,2.221770E+03,2.182798E-01,1.979212E-01
20:10:00,3.783901E+03,2.121104E+03,2.182616E-01,1.889537E-01
20:20:00,3.783608E+03,2.041209E+03,2.182448E-01,1.818366E-01
20:30:00,3.783331E+03,1.973101E+03,2.182287E-01,1.757696E-01
20:40:00,3.783068E+03,1.912255E+03,2.182135E-01,1.703496E-01
20:50:00,3.782817E+03,1.857060E+03,2.181990E-01,1.654329E-01
21:00:00,3.782578E+03,1.806548E+03,2.181852E-01,1.609333E-01
21:10:00,3.812445E+03,1.729459E+03,2.199080E-01,1.540662E-01
21:20:00,3.842263E+03,1.655596E+03,2.216278E-01,1.474861E-01
21:30:00,3.872045E+03,1.584468E+03,2.233456E-01,1.411497E-01
21:40:00,3.901804E+03,1.515735E+03,2.250623E-01,1.350267E-01
21:50:00,3.931547E+03,1.449117E+03,2.267781E-01,1.290921E-01
22:00:00,3.961277E+03,1.384395E+03,2.284931E-01,1.233266E-01
22:10:00,3.995900E+03,1.316901E+03,2.304905E-01,1.173141E-01
22:20:00,4.030579E+03,1.251232E+03,2.324910E-01,1.114641E-01
22:30:00,4.065288E+03,1.187152E+03,2.344933E-01,1.057557E-01
22:40:00,4.100018E+03,1.124464E+03,2.364967E-01,1.001712E-01
22:50:00,4.134763E+03,1.062992E+03,2.385009E-01,9.469500E-02
23:00:00,4.169520E+03,1.002578E+03,2.405057E-01,8.931296E-02
23:10:00,4.195676E+03,9.514998E+02,2.420144E-01,8.476263E-02
23:20:00,4.221838E+03,9.009277E+02,2.435235E-01,8.025746E-02
23:30:00,4.248009E+03,8.508590E+02,2.450332E-01,7.579711E-02
23:40:00,4.274187E+03,8.012925E+02,2.465432E-01,7.138146E-02
23:50:00,4.300372E+03,7.522102E+02,2.480536E-01,6.700894E-02
24:00:00,4.326563E+03,7.035889E+02,2.495643E-01,6.267746E-02
Peak,4.418673E+03,2.915550E+03,2.548777E-01,2.597239E-01

Peak Vol Flow (m3/s),,,2.167540E-01,2.208753E-01
